name,create_dttm,pid,gender,age,short_nm,education_level_code,speciality,semester_cnt,subcide_rate,semester_cost_amt,initial_approved_amt,initial_term,utm_source,marketing_flg,approve_dttm,approve_flg,reject_reason,util_dttm,util_flg,score
Вениамин Георгиевич Шарапов,2024-07-28,75c824cf-b0a1-4151-8b03-ced3be323e22,M,16,Сибирский федеральный университет (СФУ),BACHELOR,Электроника и наноэлектроника,2,3.2,180000,0.0,4,website,0,,0,Заявитель найден в ЧС,,0,0.83
тов. Куликова Наталья Владимировна,2024-07-24,c808c3f9-e770-4744-a9c7-153e606a696b,F,17,Московский государственный университет имени М.В. Ломоносова (МГУ),BACHELOR,Автоматизация и управление,3,3.3,270000,0.0,8,website,0,,0,Недостаток документов,,0,0.78
Евгений Аверьянович Михайлов,2024-06-14,46774c65-b983-4ffd-ad3b-a9f0fbc6cc5,M,19,Томский государственный университет (ТГУ),BACHELOR,Информатика и вычислительная техника,4,3.9,245000,1960000.0,8,social_media,1,2024-08-31,1,,2024-07-17,1,0.65
Смирнова Евдокия Вячеславовна,2024-05-13,5f324ac9-99de-473d-815f-b9162957d623,F,19,Московский физико-технический институт (МФТИ),BACHELOR,Прикладная математика,2,3.6,200000,900000.0,6,website,0,2024-08-25,1,,2024-06-01,1,0.65
Кира Степановна Цветкова,2024-07-10,6edb3ca1-16c7-4a23-aa81-eff2b3e699a6,F,16,Московский государственный университет имени М.В. Ломоносова (МГУ),BACHELOR,Электроника и наноэлектроника,1,3.4,290000,580000.0,2,website,0,,0,,2024-08-01,1,0.68
Сорокин Спиридон Валентинович,2024-05-03,a9dbf8c0-1bd0-4527-a8cf-0ba5a9002c2,M,18,Национальный исследовательский университет «Высшая школа экономики» (ВШЭ),BACHELOR,Прикладная математика,2,3.5,350000,1050000.0,4,social_media,1,2024-07-16,1,,2024-06-04,1,0.62
Голубева Фёкла Валериевна,2024-05-13,0c48e481-bb18-4885-8dd3-c2a294285356,F,24,Сибирский федеральный университет (СФУ),MASTER,Автоматизация и управление,2,3.1,210000,630000.0,4,website,0,2024-09-04,1,,2024-06-14,1,0.71
Егор Власович Титов,2024-07-16,f642085f-8797-412b-bef8-4aed98a5f3e3,M,21,Московский физико-технический институт (МФТИ),MASTER,Физика,2,3.8,265000,954000.0,4,social_media,0,,0,,2024-09-07,1,0.66
Сигизмунд Егорович Лазарев,2024-05-19,410f857d-35a6-4e6e-a53a-f3dbe85c628c,M,18,Российский государственный университет нефти и газа имени И.М. Губкина,BACHELOR,Химия,2,4.0,270000,1296000.0,6,social_media,0,2024-09-14,1,,2024-07-27,1,0.52
Майя Федоровна Аксенова,2024-05-02,eaa2e064-e80e-41ff-8d59-47103a10a7d,F,22,Национальный исследовательский университет «Высшая школа экономики» (ВШЭ),MASTER,Физика,2,4.0,315000,945000.0,4,social_media,1,,0,,2024-06-20,1,0.59
Панфилов Арефий Изотович,2024-05-14,fe6ffcdc-6750-4f80-939d-9c5e396ffef,M,16,Российский государственный университет нефти и газа имени И.М. Губкина,BACHELOR,Физика,2,4.0,225000,900000.0,8,bank,1,2024-07-10,1,,2024-07-08,1,0.54
Галина Петровна Боброва,2024-05-01,24519700-6b31-4735-8eac-9cfe4932438,F,22,Казанский федеральный университет (КФУ),MASTER,Прикладная математика,2,3.4,240000,768000.0,4,bank,1,2024-08-25,1,,2024-05-20,1,0.73
Пономарева Людмила Тимофеевна,2024-07-17,87b8a94d-7abb-4532-9008-95f9f53320e,F,19,Национальный исследовательский университет «Высшая школа экономики» (ВШЭ),BACHELOR,Автоматизация и управление,3,3.4,420000,2520000.0,8,social_media,1,2024-08-17,1,,2024-08-04,1,0.53
Александра Захаровна Тетерина,2024-05-05,b80e8c5f-91c5-4623-8dec-d1c68623cf08,F,17,Красноярский государственный университет (КГУ),BACHELOR,Электроника и наноэлектроника,2,3.5,150000,720000.0,8,website,0,2024-06-29,1,,2024-05-07,1,0.64
Агафья Артемовна Герасимова,2024-05-27,6441a9f4-a80a-476a-8b8c-05a45b4e1c2f,F,17,Московский государственный университет имени М.В. Ломоносова (МГУ),BACHELOR,Автоматизация и управление,2,3.8,320000,960000.0,6,bank,0,2024-09-04,1,,2024-08-11,1,0.6
Анисимова Алевтина Вадимовна,2024-06-03,687692f5-5919-4ebd-b7b0-560437b97d4c,F,17,Уральский федеральный университет имени первого Президента России Б.Н. Ельцина (УрФУ),SPECIALTY,Автоматизация и управление,3,3.4,140000,756000.0,6,social_media,0,2024-06-28,1,,2024-06-08,1,0.54
Горшкова Пелагея Семеновна,2024-07-01,f8a904b6-18ca-43be-87f6-fae7b8e8468,F,17,Уральский федеральный университет имени первого Президента России Б.Н. Ельцина (УрФУ),BACHELOR,Прикладная математика,2,3.8,220000,1056000.0,8,website,1,2024-09-10,1,,2024-07-18,1,0.68
Красильников Никандр Теймуразович,2024-06-17,f7c0ec17-51cc-4287-8402-0638a9574df,M,18,Новосибирский государственный университет (НГУ),BACHELOR,Механика,4,4.4,155000,1116000.0,8,website,1,2024-07-13,1,,2024-07-01,1,0.54
Всеслав Игнатьевич Ситников,2024-05-08,ca3cdcaa-56a8-4d84-addb-55d6860f36d8,M,15,Сибирский федеральный университет (СФУ),BACHELOR,Прикладная математика,2,3.2,140000,672000.0,6,website,0,2024-08-17,1,,2024-07-29,1,0.64
Лыткина Майя Алексеевна,2024-06-10,b02d4e59-090f-4361-99e5-2519a28685c6,F,22,Национальный исследовательский университет «Высшая школа экономики» (ВШЭ),MASTER,Автоматизация и управление,1,4.8,370000,666000.0,2,social_media,0,2024-09-06,1,,2024-07-01,1,0.72
Николаева Маргарита Макаровна,2024-06-28,d9fc2e6d-232a-48e1-b893-8840ab8c1e58,F,15,Московский физико-технический институт (МФТИ),BACHELOR,Информатика и вычислительная техника,3,3.7,300000,1800000.0,6,bank,0,2024-07-14,1,,2024-06-30,1,0.65
Фомичева Евфросиния Валентиновна,2024-08-01,610ba9ab-e113-4a80-aa34-90127895daf5,F,17,Московский государственный университет имени М.В. Ломоносова (МГУ),BACHELOR,Прикладная математика,3,4.4,300000,1920000.0,8,social_media,0,,0,,2024-08-11,1,0.68
Аксенов Андрей Даниилович,2024-08-09,aaf20967-350f-40cd-92bd-f39e0c97e5c2,M,17,Дальневосточный федеральный университет (ДВФУ),SPECIALTY,Физика,2,4.0,155000,558000.0,6,bank,0,,0,,2024-08-20,1,0.64
тов. Авдеева Лидия Александровна,2024-06-11,38cf6104-f040-4483-ad20-1d104f17ecb5,F,19,Национальный исследовательский университет «Высшая школа экономики» (ВШЭ),BACHELOR,Информатика и вычислительная техника,3,4.2,450000,2700000.0,8,website,0,,0,,2024-08-31,1,0.67
Самсонов Евстафий Демьянович,2024-06-02,ddfb4bf6-dc2d-4984-86e0-7c6189f0c59a,M,16,Московский государственный университет имени М.В. Ломоносова (МГУ),BACHELOR,Химия,2,3.3,260000,1040000.0,4,social_media,0,,0,,2024-06-04,1,0.52
Януарий Эдгарович Зыков,2024-05-03,b8168e08-cfd5-48b4-9067-f83812efe8f,M,19,Санкт-Петербургский государственный университет (СПбГУ),BACHELOR,Физика,2,4.0,315000,1512000.0,6,bank,1,2024-06-15,1,,2024-06-11,1,0.58
Федосеева Екатерина Георгиевна,2024-07-30,ec0aaea6-4b40-43b6-9b35-4461bd5d44bf,F,15,Московский физико-технический институт (МФТИ),BACHELOR,Прикладная математика,2,4.4,300000,0.0,8,social_media,0,,0,Плохая КИ,,0,0.73
Гущина Галина Павловна,2024-06-06,50468347-8fc7-443f-92ca-f1bf289aff77,F,21,Московский физико-технический институт (МФТИ),MASTER,Инженерия программного обеспечения,1,3.1,210000,420000.0,2,bank,0,,0,,2024-07-31,1,0.69
Ситникова Анжела Константиновна,2024-05-13,2443a746-988c-4446-b7f1-f521cb9bfec2,F,16,Томский государственный университет (ТГУ),BACHELOR,Информатика и вычислительная техника,2,4.0,195000,702000.0,6,website,0,2024-07-11,1,,2024-06-29,1,0.66
Орест Димитриевич Потапов,2024-05-02,5b640072-bb07-4955-955f-5b7e9ee4192,M,21,Санкт-Петербургский государственный университет (СПбГУ),MASTER,Информатика и вычислительная техника,2,4.0,400000,1200000.0,4,bank,1,2024-07-03,1,,2024-05-10,1,0.72
Смирнова Людмила Викторовна,2024-05-18,61e2467f-a056-4ef6-8e0d-c58506dd1460,F,24,Национальный исследовательский университет «Высшая школа экономики» (ВШЭ),MASTER,Автоматизация и управление,1,3.7,320000,768000.0,4,bank,0,2024-07-13,1,,2024-05-25,1,0.73
Калашникова Феврония Наумовна,2024-05-08,94056a5e-91ae-4f01-9fbd-03a282c959cf,F,19,Санкт-Петербургский государственный университет (СПбГУ),BACHELOR,Информатика и вычислительная техника,1,3.6,450000,1080000.0,4,website,0,2024-07-29,1,,2024-05-27,1,0.57
Евсеева Клавдия Максимовна,2024-06-04,27890aa7-7a32-4265-a954-1eb88be83d1d,F,15,Московский физико-технический институт (МФТИ),BACHELOR,Информатика и вычислительная техника,1,4.7,300000,600000.0,2,social_media,0,2024-09-08,1,,2024-06-19,1,0.49
Николаев Вацлав Измаилович,2024-05-11,3d5c74e6-caef-4834-a7f2-2adb8fca39b,M,22,Санкт-Петербургский государственный университет (СПбГУ),MASTER,Физика,0,3.6,315000,315000.0,2,social_media,1,2024-06-01,1,,2024-05-31,1,0.58
Ильин Якуб Демьянович,2024-05-04,12489d37-a10b-459d-a30b-fc3da7ea0772,M,20,Московский физико-технический институт (МФТИ),MASTER,Физика,0,4.0,215000,215000.0,2,social_media,0,2024-08-27,1,,2024-05-28,1,0.65
Владимиров Никодим Харламович,2024-06-30,3a5ac8d0-8816-4762-a3d9-158bc30e5b93,M,18,Новосибирский государственный университет (НГУ),SPECIALTY,Информатика и вычислительная техника,4,3.4,260000,2080000.0,8,website,0,,0,,2024-08-30,1,0.63
Лаврентьев Фрол Фадеевич,2024-08-10,0392dc36-9da3-46c3-b472-2b3c86044b3,M,19,Национальный исследовательский университет «Высшая школа экономики» (ВШЭ),BACHELOR,Прикладная математика,2,4.0,450000,2160000.0,8,website,1,,0,,2024-09-03,1,0.65
Елизавета Васильевна Бобылева,2024-05-18,c052471a-8178-4e64-9133-52cfa163987,F,20,Санкт-Петербургский государственный университет (СПбГУ),MASTER,Информатика и вычислительная техника,2,3.4,400000,1200000.0,4,bank,1,,0,,2024-06-28,1,0.73
Константин Валерьянович Селиверстов,2024-08-10,e5ac5061-a2e2-4e44-9ef6-592a2aa48578,M,19,Московский государственный университет имени М.В. Ломоносова (МГУ),BACHELOR,Химия,3,4.0,310000,1860000.0,6,social_media,0,2024-09-04,1,,2024-08-12,1,0.67
Маслов Константин Алексеевич,2024-06-13,92dbfbbb-1804-4b0b-87df-69502a19f3b7,M,16,Московский государственный университет имени М.В. Ломоносова (МГУ),BACHELOR,Механика,4,3.3,345000,2484000.0,8,social_media,0,2024-07-30,1,,2024-07-24,1,0.64
Максимова Вероника Феликсовна,2024-05-17,bffdda4f-7841-4a60-b8e2-bd7a8fe3ec7f,F,15,Московский государственный университет имени М.В. Ломоносова (МГУ),BACHELOR,Прикладная математика,4,4.0,300000,2400000.0,8,bank,0,2024-08-05,1,,2024-06-16,1,0.58
Павлов Арефий Давидович,2024-05-07,93068352-6bb2-4903-97a6-e3f99b17e09,M,19,Томский государственный университет (ТГУ),BACHELOR,Информатика и вычислительная техника,2,3.8,295000,1327500.0,6,social_media,1,,0,,2024-08-25,1,0.64
Парамон Борисович Мартынов,2024-05-15,c9390efc-bfc4-471e-b4c8-967fbab2cc18,M,19,Новосибирский государственный университет (НГУ),BACHELOR,Физика,3,3.1,175000,1050000.0,8,bank,0,,0,,2024-06-27,1,0.66
Корнил Гордеевич Кудрявцев,2024-05-08,b61e8a5e-a929-4383-b22d-8e10e89c9e76,M,23,Санкт-Петербургский государственный университет (СПбГУ),MASTER,Физика,1,4.0,265000,636000.0,4,social_media,0,2024-07-03,1,,2024-06-11,1,0.71
Елисеев Карп Вилорович,2024-06-05,ed4a7f05-7c58-4b09-8880-cd6ca8d3283,M,19,Санкт-Петербургский государственный университет (СПбГУ),BACHELOR,Кибернетика,4,3.1,310000,2480000.0,8,bank,1,,0,,2024-08-04,1,0.67
